case,frame,trial_index,mode,converged,convergence_step,wall_time_s,lin_err_steady_m,ang_err_steady_rad,ik_optimal_success,sweep__position_cost,sweep__orientation_cost,sweep__lm_damping,ee_ss__x,ee_ss__y,ee_ss__z,ee_ss__r,ee_ss__p,ee_ss__yw
left_forward_extend,left_wrist_yaw_link,1,real,1,44,5.946,0.00422,0.00018,0,20.0,10.0,1.0,0.33676,0.18883,0.09339,-0.02737,0.06956,-0.03011
left_forward_extend,left_wrist_yaw_link,2,real,1,42,5.914,0.00444,0.00018,0,20.0,10.0,1.0,0.33705,0.19019,0.09376,-0.02437,0.06821,-0.02889
left_forward_extend,left_wrist_yaw_link,3,real,1,42,5.922,0.00440,0.00018,0,20.0,10.0,1.0,0.33712,0.19085,0.09377,-0.02276,0.06805,-0.02837
left_forward_mid,left_wrist_yaw_link,1,real,1,41,5.928,0.00464,0.00293,0,20.0,10.0,1.0,0.29974,0.20340,0.18033,0.00348,0.03736,0.00253
left_forward_mid,left_wrist_yaw_link,2,real,1,39,5.857,0.00326,0.00205,0,20.0,10.0,1.0,0.29912,0.20259,0.18177,0.00164,0.03485,0.00276
left_forward_mid,left_wrist_yaw_link,3,real,1,39,5.855,0.00326,0.00205,0,20.0,10.0,1.0,0.29918,0.20241,0.18178,0.00083,0.03544,0.00263
left_side_reach,left_wrist_yaw_link,1,real,1,50,6.088,0.00422,0.00020,0,20.0,10.0,1.0,0.16490,0.33922,0.18638,-0.07401,-0.03286,0.00576
left_side_reach,left_wrist_yaw_link,2,real,1,49,6.075,0.00494,0.00023,0,20.0,10.0,1.0,0.16584,0.33914,0.18645,-0.07091,-0.02340,-0.00072
left_side_reach,left_wrist_yaw_link,3,real,1,50,6.063,0.00292,0.00014,0,20.0,10.0,1.0,0.16479,0.33843,0.18743,-0.07399,-0.02326,-0.00139
left_side_up,left_wrist_yaw_link,1,real,1,38,5.925,0.00335,0.00201,0,20.0,10.0,1.0,0.21067,0.33373,0.18555,-0.07267,-0.01409,-0.01508
left_side_up,left_wrist_yaw_link,2,real,1,38,5.820,0.00337,0.00202,0,20.0,10.0,1.0,0.21062,0.33380,0.18564,-0.07218,-0.01465,-0.01535
left_side_up,left_wrist_yaw_link,3,real,1,38,5.806,0.00336,0.00202,0,20.0,10.0,1.0,0.21067,0.33368,0.18564,-0.07264,-0.01466,-0.01408
left_side_low,left_wrist_yaw_link,1,real,1,24,5.526,0.00180,0.00209,0,20.0,10.0,1.0,0.21420,0.32420,0.08204,-0.04830,-0.02051,0.00471
left_side_low,left_wrist_yaw_link,2,real,1,24,5.536,0.00161,0.00187,0,20.0,10.0,1.0,0.21417,0.32427,0.08168,-0.04936,-0.01919,0.00518
left_side_low,left_wrist_yaw_link,3,real,1,24,5.525,0.00163,0.00189,0,20.0,10.0,1.0,0.21414,0.32427,0.08165,-0.04861,-0.01879,0.00514
right_forward_extend,right_wrist_yaw_link,1,real,1,48,6.042,0.00380,0.00016,0,20.0,10.0,1.0,0.32520,-0.20634,0.08120,-0.01809,0.08852,-0.01306
right_forward_extend,right_wrist_yaw_link,2,real,1,45,5.961,0.00417,0.00017,0,20.0,10.0,1.0,0.32518,-0.20636,0.08139,-0.01911,0.08878,-0.01279
right_forward_extend,right_wrist_yaw_link,3,real,1,45,5.978,0.00400,0.00017,0,20.0,10.0,1.0,0.32525,-0.20665,0.08134,-0.01933,0.08759,-0.01360
right_forward_mid,right_wrist_yaw_link,1,real,1,43,5.952,0.00338,0.00210,0,20.0,10.0,1.0,0.29166,-0.22845,0.17572,-0.08255,0.04192,-0.04151
right_forward_mid,right_wrist_yaw_link,2,real,1,40,5.864,0.00329,0.00204,0,20.0,10.0,1.0,0.29158,-0.22295,0.17540,-0.07391,0.04783,-0.03299
right_forward_mid,right_wrist_yaw_link,3,real,1,39,5.834,0.00482,0.00298,0,20.0,10.0,1.0,0.29152,-0.22454,0.17398,-0.07381,0.04523,-0.03844
right_side_reach,right_wrist_yaw_link,1,real,1,51,6.080,0.00336,0.00016,0,20.0,10.0,1.0,0.16091,-0.34212,0.18759,0.03139,-0.02311,-0.01096
right_side_reach,right_wrist_yaw_link,2,real,1,50,6.084,0.00469,0.00022,0,20.0,10.0,1.0,0.16040,-0.34134,0.18607,0.04176,-0.02752,-0.00998
right_side_reach,right_wrist_yaw_link,3,real,1,50,6.077,0.00466,0.00022,0,20.0,10.0,1.0,0.16011,-0.34137,0.18593,0.04151,-0.02660,-0.00972
right_side_up,right_wrist_yaw_link,1,real,1,39,5.866,0.00361,0.00217,0,20.0,10.0,1.0,0.20416,-0.33809,0.18433,0.02798,-0.01837,-0.00852
right_side_up,right_wrist_yaw_link,2,real,1,39,5.823,0.00365,0.00219,0,20.0,10.0,1.0,0.20423,-0.33776,0.18438,0.02814,-0.01879,-0.00683
right_side_up,right_wrist_yaw_link,3,real,1,39,5.846,0.00369,0.00222,0,20.0,10.0,1.0,0.20422,-0.33782,0.18439,0.02785,-0.01878,-0.00632
right_side_low,right_wrist_yaw_link,1,real,1,24,5.524,0.00194,0.00225,0,20.0,10.0,1.0,0.20442,-0.32314,0.07429,0.03870,0.01978,-0.00050
right_side_low,right_wrist_yaw_link,2,real,1,24,5.536,0.00197,0.00229,0,20.0,10.0,1.0,0.20465,-0.32326,0.07441,0.03836,0.01936,-0.00021
right_side_low,right_wrist_yaw_link,3,real,1,24,5.516,0.00186,0.00215,0,20.0,10.0,1.0,0.20507,-0.32303,0.07455,0.03894,0.01810,-0.00021
