dataset,case,arm,frame,n_trials,mean_l2_m,mean_abs_x_m,mean_abs_y_m,mean_abs_z_m,mean_ang_rad
real,left_pick_x30_y20_z06,left,left_wrist_yaw_link,3,0.02595132108321725,0.011826666666666652,0.0049666666666666566,0.022556666666666666,0.09615450883589487
real,left_pick_x30_y20_z10,left,left_wrist_yaw_link,3,0.03219974245536227,0.015883333333333322,0.006379999999999987,0.02727333333333334,0.5608775353955445
real,left_pick_x30_y20_z14,left,left_wrist_yaw_link,3,0.034779172762548605,0.011889999999999975,0.017676666666666657,0.02749000000000001,0.5229603848698338
real,left_pick_x30_y20_z18,left,left_wrist_yaw_link,3,0.038645004948660355,0.010400000000000001,0.023976666666666663,0.02846333333333333,0.28253377095568694
real,left_pick_x30_y30_z06,left,left_wrist_yaw_link,3,0.019409385917385114,0.006929999999999992,0.0014666666666666532,0.018066666666666665,0.028342528945504892
real,left_pick_x30_y30_z10,left,left_wrist_yaw_link,3,0.015339649098018637,0.0015066666666666746,0.0009300000000000049,0.015203333333333341,0.035409479301101165
real,left_pick_x30_y30_z14,left,left_wrist_yaw_link,3,0.012074035327862035,0.005246666666666677,0.0014433333333333336,0.010776666666666684,0.025016891549453593
real,left_pick_x30_y30_z18,left,left_wrist_yaw_link,3,0.014987650405503282,0.004323333333333364,0.003610000000000002,0.013876666666666657,0.029787535418117878
real,left_pick_x35_y20_z06,left,left_wrist_yaw_link,3,0.03895676813739525,0.02210333333333329,0.012026666666666666,0.02921333333333333,0.029279052113176107
real,left_pick_x35_y20_z10,left,left_wrist_yaw_link,3,0.039705413912565324,0.01947999999999998,0.012276666666666667,0.032046666666666675,0.06597155338389775
real,left_pick_x35_y20_z14,left,left_wrist_yaw_link,3,0.03755584560880402,0.016406666666666642,0.010516666666666665,0.03176666666666668,0.2530494052187404
real,left_pick_x35_y20_z18,left,left_wrist_yaw_link,3,0.04070463218182416,0.01588999999999996,0.010693333333333332,0.03546333333333332,0.08715237501899127
real,left_pick_x35_y30_z06,left,left_wrist_yaw_link,3,0.0473900803278108,0.025263333333333304,0.018839999999999985,0.03322,0.055461663057215116
real,left_pick_x35_y30_z10,left,left_wrist_yaw_link,3,0.039040164749098355,0.020879999999999992,0.005370000000000004,0.03245333333333334,0.04601244169400515
real,left_pick_x35_y30_z14,left,left_wrist_yaw_link,3,0.03181569166449344,0.01191666666666665,0.0028233333333333444,0.029340000000000015,0.05735534077064177
